id,price,bonus,credit,title,review,merchant_name
17,65 990 ₽,,1 875 ₽,Ноутбук ASUS X1502ZA-BQ1954 Blue (90NB0VX1-M02SU0),146,ТЕХНОВАЙБ
18,196 660 ₽,,5 589 ₽,"Ноутбук Apple MacBook Air M1 256 13.3"" M1 8/256GB Space Gray (A2337)",103,Alt-Dim
19,94 990 ₽,20 898,2 700 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Gold (MGND3)",359,HOLODILNIK.RU
20,65 440 ₽,6 544,1 860 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,ИМПЕРИЯ ТЕХНО
21,94 499 ₽,,2 686 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,М.видео
22,45 192 ₽,,1 284 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,Неватека
23,65 990 ₽,660,1 875 ₽,Ноутбук Huawei MCLF-X Gray (53013WXF),21,Ситилинк Москва Доставка
24,178 100 ₽,30 277,5 062 ₽,"Ноутбук Apple MacBook Air 15 15.3"" 2023 M2 8/512GB Midnight",55,PoLiLinK
25,54 444 ₽,,1 547 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHP),71,УМНЫЙ ДОМ
26,39 750 ₽,3 975,1 130 ₽,Ноутбук Lenovo V15 G4 AMN Gray (82YU00W6IN),45,ОГО! Онлайн-гипермаркет (FBS)
27,52 490 ₽,,1 492 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013TUE),18,Telemarket24.ru
28,105 900 ₽,12 708,3 010 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,iSpot Москва
29,65 539 ₽,8 521,1 863 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,vconstante
30,23 990 ₽,4 079,682 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,ООО МАГ ДЕВАЙС Вешки (со склада МегаМаркет)
31,59 999 ₽,,1 705 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,М.видео
32,62 319 ₽,6 232,1 771 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXE),36,XCOM
33,94 499 ₽,,2 686 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Gold (MGND3)",359,Эльдорадо
34,64 604 ₽,,1 836 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,Трубка (Доставка силами продавца)
35,50 999 ₽,,1 449 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013YDN),41,УМНЫЙ ДОМ
36,141 990 ₽,,4 035 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/256Gb Silver (MQKR3 RU)",8,KOSMOSTORE
37,51 290 ₽,10 258,1 458 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,Оптимус
38,29 990 ₽,2 100,852 ₽,Ноутбук Lenovo IdeaPad 1 15IGL7 Gray (82V700EMUE),34,Ситилинк Москва Доставка
39,94 990 ₽,20 898,2 700 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Space Grey (MGN63)",181,HOLODILNIK.RU (Север)
40,50 800 ₽,8 128,1 444 ₽,Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Gray,97,DomNouta.РФ
41,163 999 ₽,26 240,4 661 ₽,"Ноутбук Apple MacBook Air 15 15.3"" 2023 M2 8/512GB Midnight",55,KG Drop
42,61 905 ₽,,1 759 ₽,Ноутбук ASUS VivoBook E1504FA-BQ664 Black,142,Неватека
43,40 750 ₽,6 113,1 158 ₽,Ноутбук Lenovo IdeaPad Slim 3 Gray (82XQ00B5PS),71,Мегамаркет Москва Пушкино
44,39 540 ₽,,,Ноутбук Lenovo V15 G4 AMN Gray (82YU00W6IN),45,Com-Port
45,52 990 ₽,530,1 506 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013TUE),18,Ситилинк Москва Доставка
46,66 680 ₽,6 668,1 895 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,ИМПЕРИЯ ТЕХНО (ДСМ)
47,22 199 ₽,,631 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,Цифровой
48,50 100 ₽,1 503,1 424 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,ООО Эффективность
49,66 190 ₽,10 591,1 881 ₽,Ноутбук Honor MagicBook X16 2024 Gray (5301AHGW),18,Click & Buy (со склада МегаМаркет)
50,62 319 ₽,,1 771 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXE),36,XCOM-SHOP
51,54 299 ₽,5 430,1 543 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXD),22,market777.ru
52,94 499 ₽,,2 686 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Gold (MGND3)",359,М.видео
53,87 140 ₽,,2 477 ₽,Ноутбук Huawei MateBook D15 Gray (BohrM-WFP9B),41,Alt-Dim
54,94 499 ₽,,2 686 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Space Gray (MGN63)",999,М.видео
55,52 026 ₽,1 041,1 479 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013YDN),41,F5it
56,96 105 ₽,9 611,2 731 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,PoppyZeta
57,132 547 ₽,,3 767 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/256Gb Silver (MQKR3 RU)",8,Unihof
58,189 520 ₽,28 428,5 386 ₽,"Ноутбук Apple MacBook Pro 14 14"" M3 8/512GB Space Grey (MTL73) EU Keyboard",20,Мегамаркет Москва
59,45 974 ₽,6 897,1 307 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,Прайм
60,31 917 ₽,3 192,907 ₽,Ноутбук Lenovo IdeaPad 1 15IGL7 Gray (82V700EMUE),34,Пигментариус (Доставка силами продавца)
61,94 990 ₽,20 898,2 700 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Space Grey (MGN63)",181,HOLODILNIK.RU
62,41 890 ₽,838,1 191 ₽,Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Gray,97,F5it
63,141 990 ₽,8 520,,"Ноутбук Apple MacBook Air 15 15.3"" 2023 M2 8/512GB Midnight",55,Customtrade
64,169 990 ₽,16 999,4 831 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/512Gb Midnight (MQKX3 RU)",12,KOSMOSTORE
65,59 000 ₽,4 720,1 677 ₽,Ноутбук ASUS VivoBook E1504FA-BQ664 Black,142,ПОЗИТРОНИКА
66,43 898 ₽,,1 248 ₽,Ноутбук Lenovo IdeaPad Slim 3 Gray (82XQ00B5PS),71,Неватека
67,54 230 ₽,,,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013TUE),18,Com-Port
68,67 820 ₽,6 782,1 927 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,ИМПЕРИЯ ТЕХНО
69,22 222 ₽,,632 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,УМНЫЙ ДОМ
70,57 380 ₽,13 198,1 631 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,Discontica
71,34 990 ₽,350,994 ₽,Ноутбук MAIBENBEN M5431 Silver (M5431SA0LSRE1),28,Ситилинк Москва Доставка
72,66 490 ₽,665,1 890 ₽,Ноутбук Honor MagicBook X16 2024 Gray (5301AHGW),18,Ситилинк Москва Доставка
73,65 007 ₽,,1 848 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHM),37,Pleer.ru (FBS)
74,63 777 ₽,6 378,1 813 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXE),36,Sop&Co
75,49 020 ₽,3 923,1 393 ₽,Ноутбук ASUS VivoBook 15 X1504ZA-BQ1143 Blue (90NB1021-M01NX0),22,ПОЗИТРОНИКА
76,58 108 ₽,1 163,1 651 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXD),22,F5it
77,104 723 ₽,17 804,2 976 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Gold (MGND3)",359,PoLiLinK
78,68 337 ₽,,1 942 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,Неватека
79,94 499 ₽,,2 686 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Space Gray (MGN63)",999,Эльдорадо
80,76 990 ₽,7 699,2 188 ₽,Ноутбук ASUS UM3402YA-KP688 Black (90NB0W95-M016J0),33,Lite Mobile FBS
81,77 990 ₽,5 460,2 217 ₽,Ноутбук ASUS ZenBook 14 UM3402YA-KP660 Black (90NB0W95-M014W0),23,Ситилинк Москва Доставка
82,69 366 ₽,,1 971 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,OLDI
83,52 990 ₽,5 299,1 506 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013YDN),41,Lite Mobile FBS
84,95 490 ₽,21 008,2 714 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,HOLODILNIK.RU
85,138 990 ₽,,3 950 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/256Gb Silver (MQKR3 RU)",8,ConceptElectronics
86,46 990 ₽,3 290,1 335 ₽,Ноутбук ASUS E1504FA-BQ718W Black (90NB0ZR2-M01630),40,Ситилинк Москва Доставка
87,201 990 ₽,16 160,5 741 ₽,"Ноутбук Apple MacBook Pro 14 14"" M3 8/512GB Space Grey (MTL73) EU Keyboard",20,Buyon.ru (со склада МегаМаркет)
88,37 555 ₽,,1 067 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,УМНЫЙ ДОМ
89,32 852 ₽,,934 ₽,Ноутбук Lenovo IdeaPad 1 15IGL7 Gray (82V700EMUE),34,Computermarket.ru
90,53 740 ₽,,1 527 ₽,Ноутбук Huawei MateBook D14 MDF-X Gray (53013UFC),37,Неватека
91,46 295 ₽,,1 316 ₽,Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Gray,97,Tehhouse
92,33 990 ₽,5 779,966 ₽,Ноутбук Chuwi GemiBook Plus Gray,61,ООО МАГ ДЕВАЙС Вешки (со склада МегаМаркет)
93,78 270 ₽,11 741,2 224 ₽,Ноутбук Huawei MCLF-X Gray (53013WXF),21,Мегамаркет Москва Томилино
94,155 623 ₽,3 113,4 423 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/512Gb Midnight (MQKX3 RU)",12,AppleBox
95,60 990 ₽,6 099,1 733 ₽,Ноутбук ASUS VivoBook E1504FA-BQ664 Black,142,Lite Mobile FBS
96,39 990 ₽,400,1 137 ₽,Ноутбук MAIBENBEN M545 Silver,32,Ситилинк Москва Доставка
97,53 739 ₽,,1 527 ₽,Ноутбук Acer Aspire 3 A315-44P-R0ET Silver (NX.KSJCD.005),27,АЛЕВИТ
98,55 790 ₽,5 579,1 586 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHP),71,ОГО! Онлайн-гипермаркет (FBS)
99,134 990 ₽,,3 836 ₽,"Ноутбук Apple MacBook Air MLXW3HN/A 13.6, M2, 256 GB, space grey",22,ConceptElectronics
100,44 451 ₽,6 668,1 263 ₽,Ноутбук Lenovo IdeaPad Slim 3 Gray (82XQ00B5PS),71,Прайм
101,42 659 ₽,,1 212 ₽,Ноутбук Lenovo IdeaPad 1 15AMN7 Gray (82VG00LSUE),17,АЛЕВИТ
102,39 900 ₽,5 985,1 134 ₽,Ноутбук Lenovo V15 G4 AMN Gray (82YU00W6IN),45,НОТИК
103,57 590 ₽,5 759,1 637 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013TUE),18,Lite Mobile FBS
104,91 180 ₽,4 559,2 591 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,Just a store
105,22 990 ₽,3 679,653 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,DominoShop.ru
106,73 990 ₽,11 839,2 103 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,BERUBE
107,64 199 ₽,,1 825 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHM),37,АЛЕВИТ
108,63 759 ₽,6 376,1 812 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXE),36,TechnoTOP
109,50 788 ₽,,,Ноутбук ASUS VivoBook 15 X1504ZA-BQ1143 Blue (90NB1021-M01NX0),22,123.ru
110,58 305 ₽,,1 657 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXD),22,Трубка (Доставка силами продавца)
111,102 990 ₽,10 299,2 927 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Gold (MGND3)",359,KOSMOSTORE
112,94 870 ₽,9 487,2 696 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Space Gray (MGN63)",999,TechnoTOP
113,115 990 ₽,,3 296 ₽,Ноутбук ASUS TUF Dash F15 FX517ZE-HN120W Black (90NR0953-M00AC0),35,dimoll
114,95 479 ₽,,2 714 ₽,Ноутбук ASUS ZenBook 14 UM3402YA-KP660 Black (90NB0W95-M014W0),23,Неватека
115,73 388 ₽,12 477,2 086 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,ОЛДИ
116,102 990 ₽,10 299,2 927 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,KOSMOSTORE
117,139 093 ₽,,3 953 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/256Gb Silver (MQKR3 RU)",8,TechnoTOP
118,55 900 ₽,8 944,1 589 ₽,Ноутбук ASUS E1504FA-BQ718W Black (90NB0ZR2-M01630),40,DomNouta.РФ
119,177 600 ₽,,5 047 ₽,"Ноутбук Apple MacBook Pro 14 14"" M3 8/512GB Space Grey (MTL73) EU Keyboard",20,SmartMart
120,125 990 ₽,8 820,3 581 ₽,Ноутбук GIGABYTE Aorus 7 Black (9MF-E2KZ513SD),47,Ситилинк Москва Доставка
121,41 990 ₽,2 940,1 193 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,Ситилинк Москва Доставка
122,33 080 ₽,2 647,940 ₽,Ноутбук Lenovo IdeaPad 1 15IGL7 Gray (82V700EMUE),34,ПОЗИТРОНИКА
123,90 000 ₽,,2 558 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Space Grey (MGN63)",181,RINGтон
124,55 481 ₽,9 433,1 577 ₽,Ноутбук Huawei MateBook D14 MDF-X Gray (53013UFC),37,ОЛДИ
125,34 990 ₽,,994 ₽,Ноутбук Chuwi GemiBook Plus Gray,61,AFITRON (Со склада Мегамаркет)
126,74 968 ₽,,2 131 ₽,Ноутбук Huawei MCLF-X Gray (53013WXF),21,Computermarket.ru
127,184 816 ₽,29 571,5 253 ₽,"Ноутбук Apple MacBook Air 15 15.3"" 2023 M2 8/512GB Midnight",55,Murza El
128,156 117 ₽,15 612,4 437 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/512Gb Midnight (MQKX3 RU)",12,ALLO-ALLO
129,43 631 ₽,6 545,1 240 ₽,Ноутбук MAIBENBEN M545 Silver,32,Прайм
130,54 414 ₽,,1 546 ₽,Ноутбук Acer Aspire 3 A315-44P-R0ET Silver (NX.KSJCD.005),27,Pleer.ru (FBS)
131,58 190 ₽,9 311,1 654 ₽,Ноутбук Honor MagicBook X16 2024 Gray (5301AHGY),10,Click & Buy (со склада МегаМаркет)
132,55 990 ₽,5 599,1 591 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHP),71,2byte SPb
133,154 938 ₽,,4 403 ₽,"Ноутбук Apple MacBook Air MLXW3HN/A 13.6, M2, 256 GB, space grey",22,Неватека
134,40 750 ₽,6 113,1 158 ₽,Ноутбук Lenovo IdeaPad Slim 3 Gray (82XQ00B5PS),71,Мегамаркет МСК Подольск
135,42 216 ₽,,,Ноутбук Lenovo IdeaPad 1 15AMN7 Gray (82VG00LSUE),17,123.ru
136,58 444 ₽,5 845,1 661 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013TUE),18,Sop&Co
137,56 990 ₽,570,1 620 ₽,Ноутбук Huawei MateBook D14 Gray (53013XET),31,Ситилинк
138,141 056 ₽,21 159,4 009 ₽,"Ноутбук Apple MacBook Air 13"" M2/8Gb/256Gb/Midnight (MLY33)",127,PoLiLinK
139,22 980 ₽,,653 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,Альт
140,73 990 ₽,4 440,2 103 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,Марвел
141,35 646 ₽,,1 013 ₽,Ноутбук MAIBENBEN M5431 Silver (M5431SA0LSRE1),28,XCOM-SHOP
142,70 110 ₽,,1 993 ₽,Ноутбук Honor MagicBook X16 2024 Gray (5301AHGW),18,Pleer.ru (FBS)
143,64 999 ₽,1 300,1 847 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHM),37,F5it
144,209 895 ₽,,,"Ноутбук Apple MacBook Pro 14"" M1 Pro/16/512GB Space Gray (MKGP3)",66,A-Smart.shop Доставка силами продавца
145,63 771 ₽,6 378,1 812 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXE),36,PoppyZeta
146,52 011 ₽,,1 478 ₽,Ноутбук ASUS VivoBook 15 X1504ZA-BQ1143 Blue (90NB1021-M01NX0),22,Tehhouse
147,59 720 ₽,5 972,1 697 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXD),22,ИМПЕРИЯ ТЕХНО (ДСМ)
148,79 990 ₽,800,2 273 ₽,Ноутбук MSI GF63 Thin 12UC-1036XRU Black (9S7-16R821-1036),27,Ситилинк Москва Доставка
149,54 640 ₽,,,Ноутбук Huawei MateBook D14 MDF-X Gray (53013XFQ),10,Com-Port
150,94 882 ₽,9 489,2 697 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Space Gray (MGN63)",999,PoppyZeta
151,65 454 ₽,,1 860 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,TopElectronics
152,91 100 ₽,14 576,2 589 ₽,Ноутбук ASUS UM3402YA-KP688 Black (90NB0W95-M016J0),33,DomNouta.РФ
153,51 990 ₽,3 640,1 478 ₽,Ноутбук ASUS VivoBook 15 X1504ZA-BQ1144 Blue (90NB1021-M01NY0),20,Ситилинк Москва Доставка
154,53 540 ₽,5 354,1 522 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013YDN),41,ИМПЕРИЯ ТЕХНО (ДСМ)
155,94 499 ₽,,2 686 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,Эльдорадо
156,139 105 ₽,,3 953 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/256Gb Silver (MQKR3 RU)",8,PoppyZeta
157,63 260 ₽,,1 798 ₽,Ноутбук ASUS E1504FA-BQ718W Black (90NB0ZR2-M01630),40,Alt-Dim
158,177 000 ₽,,5 030 ₽,"Ноутбук Apple MacBook Pro 14 14"" M3 8/512GB Space Grey (MTL73) EU Keyboard",20,100Store
159,135 000 ₽,21 600,3 837 ₽,Ноутбук GIGABYTE Aorus 7 Black (9MF-E2KZ513SD),47,DomNouta.РФ
160,39 990 ₽,800,1 137 ₽,Ноутбук Acer Extensa EX215-54 Black (NX.EGJER.040),31,F5it
161,91 834 ₽,9 184,2 610 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Space Grey (MGN63)",181,ALLO-ALLO
162,144 839 ₽,23 175,4 116 ₽,"Ноутбук Apple MacBook Air 15"" M2/8Gb/256Gb Starlight (MQKU3LL/A)",17,EVD
163,55 190 ₽,8 279,1 569 ₽,Ноутбук Huawei MateBook D14 MDF-X Gray (53013UFC),37,Мегамаркет Москва Томилино
164,44 286 ₽,,1 259 ₽,Ноутбук Lenovo IdeaPad Slim 3 15IRU8 Gray,97,KNS Digital Solutions
165,32 222 ₽,,916 ₽,Ноутбук Chuwi GemiBook Plus Gray,61,УМНЫЙ ДОМ
166,67 334 ₽,,1 914 ₽,Ноутбук ASUS VivoBook X1605ZA-MB807 Silver (90NB0ZA2-M015R0),23,Pleer.ru (FBS)
167,168 043 ₽,,,"Ноутбук Apple MacBook Air 15"" M2/8Gb/512Gb Midnight (MQKX3 RU)",12,1PAD
168,79 777 ₽,,2 267 ₽,Ноутбук ASUS VivoBook E1504FA-BQ664 Black,142,Alt-Dim
169,38 750 ₽,,,Ноутбук MAIBENBEN M545 Silver,32,Com-Port
227,30 721 ₽,,873 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,КОТОФОТО
170,65 990 ₽,4 620,1 875 ₽,Ноутбук ASUS X1502ZA-BQ1953 Silver (90NB0VX2-M02ST0),64,Ситилинк Москва Доставка
171,57 100 ₽,,1 623 ₽,Ноутбук Acer Aspire 3 A315-44P-R0ET Silver (NX.KSJCD.005),27,Texnoplace
172,58 490 ₽,585,1 662 ₽,Ноутбук Honor MagicBook X16 2024 Gray (5301AHGY),10,Ситилинк Москва Доставка
173,55 999 ₽,1 120,1 592 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHP),71,F5it
174,158 730 ₽,,4 511 ₽,"Ноутбук Apple MacBook Air MLXW3HN/A 13.6, M2, 256 GB, space grey",22,Alt-Dim
175,46 727 ₽,7 477,1 328 ₽,Ноутбук Lenovo IdeaPad Slim 3 Gray (82XQ00B5PS),71,Store 510
176,42 907 ₽,,1 219 ₽,Ноутбук Lenovo IdeaPad 1 15AMN7 Gray (82VG00LSUE),17,Tehhouse
177,179 999 ₽,,5 116 ₽,Ноутбук Huawei MateBook X Pro Blue,11,М.видео
178,109 200 ₽,17 472,3 104 ₽,Ноутбук Lenovo LOQ 15IRH8 Gray (82XV00S8RK),9,Store 510
179,41 531 ₽,,1 180 ₽,Ноутбук Lenovo V15 G4 AMN Gray (82YU00W6IN),45,Pleer.ru (FBS)
180,58 426 ₽,5 843,1 660 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013TUE),18,TechnoTOP
181,28 690 ₽,,815 ₽,Ноутбук Chuwi HeroBook Pro Gray,294,XCOM-SHOP
182,57 599 ₽,,1 637 ₽,Ноутбук F+ FLAPTOP R Silver (FLTP-5R5-8512-W),33,МАРКЕТТРЕЙД
183,36 509 ₽,,1 038 ₽,Ноутбук MAIBENBEN M5431 Silver (M5431SA0LSRE1),28,Computermarket.ru
184,70 900 ₽,7 090,2 015 ₽,Ноутбук Honor MagicBook X16 2024 Gray (5301AHGW),18,ОГО! Онлайн-гипермаркет (FBS)
185,67 184 ₽,,1 909 ₽,Ноутбук Honor MagicBook X16 2024 DOS Gray (5301AHHM),37,Неватека
186,213 893 ₽,34 224,6 079 ₽,"Ноутбук Apple MacBook Pro 14"" M1 Pro/16/512GB Space Gray (MKGP3)",66,A-Smart.shop
187,60 377 ₽,,1 716 ₽,Ноутбук ASUS E1504FA-BQ719 Black (90NB0ZR2-M01640),71,Alt-Dim
188,69 030 ₽,10 355,1 962 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXE),36,Мегамаркет Москва Томилино
189,51 300 ₽,5 130,1 458 ₽,Ноутбук ASUS VivoBook 15 X1504ZA-BQ1143 Blue (90NB1021-M01NX0),22,ИМПЕРИЯ ТЕХНО (ДСМ)
190,60 740 ₽,6 074,1 726 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013WXD),22,ImperiaTechno SPB
191,135 660 ₽,,3 856 ₽,Ноутбук Thunderobot 911S Core D Black (JT009K00FRU),142,Техно Фаворит
192,33 464 ₽,,951 ₽,Ноутбук Chuwi GemiBook X pro Gray,166,OLDI
193,76 279 ₽,,2 168 ₽,Ноутбук ASUS VivoBook 17X K1703ZA-AU171 Blue (90NB0WN2-M00750),14,Computermarket.ru
194,54 990 ₽,550,1 563 ₽,Ноутбук Huawei MateBook D14 MDF-X Gray (53013XFQ),10,Ситилинк Москва Доставка
195,99 990 ₽,1 000,2 842 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb/Space Gray (MGN63)",999,Ситилинк Москва Доставка
196,91 938 ₽,,2 613 ₽,Ноутбук ASUS ZenBook 14 UM3402YA-KP660 Black (90NB0W95-M014W0),23,Tehhouse
197,65 454 ₽,,1 860 ₽,Ноутбук Huawei MateBook D15 BoM-WFP9 Silver (53013SPN),42,Topcomputer.ru
198,74 570 ₽,,,Ноутбук ASUS UM3402YA-KP688 Black (90NB0W95-M016J0),33,Com-Port
199,54 455 ₽,5 446,1 548 ₽,Ноутбук Huawei MateBook D16 MCLF-X Gray (53013YDN),41,ИМПЕРИЯ ТЕХНО
200,102 656 ₽,16 426,2 918 ₽,"Ноутбук Apple MacBook Air 13"" M1/8Gb/256Gb Silver (MGN93)",664,Gadgetos
201,204 990 ₽,32 799,5 826 ₽,"Ноутбук Apple MacBook Pro 14 14"" M3 8/512GB Space Grey (MTL73) EU Keyboard",20,А Маркет
202,154 660 ₽,,4 395 ₽,Ноутбук GIGABYTE Aorus 7 Black (9MF-E2KZ513SD),47,Alt-Dim
